prob.dir,min.log.penalty,max.log.penalty
H3K4me3_XJ_immune/samples/tcell/McGill0024/problems/chr1:30028082-103863906,8.61126591428284,8.66837454267116
ATAC_JV_adipose/samples/AD2/MSC80/problems/chr3:60000-66170270,8.66648603250955,10.2786616916391
H3K27ac-H3K4me3_TDHAM_BP/samples/GR2_H3K4me3/S00HUD_WTSI/problems/chr2:33200000-87000000,10.3394186773241,10.3975518185865
H3K4me3_PGP_immune/samples/monocyte/McGill0104/problems/chr1:30028082-103863906,7.8103437213725,8.20794753359088
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UTA_/problems/chr4:75452279-190000000,9.40040592825443,10.5528880627077
H3K27ac-H3K4me3_TDHAM_BP/samples/Input/S00GSL_McGill_nTC/problems/chr4:75452279-190000000,10.961710287835,Inf
H3K4me3_PGP_immune/samples/bcell/McGill0322/problems/chr6:62178589-95680543,7.84201978064086,10.8244183527267
H3K4me3_PGP_immune/samples/tcell/McGill0026/problems/chr2:21178113-87668206,8.12143142925909,10.3250912355723
H3K4me3_TDH_immune/samples/tcell/McGill0107/problems/chr3:93504854-194041961,9.20400024373483,9.78431883625877
H3K9me3_TDH_BP/samples/tcell/ERS206539/problems/chr4:75452279-190000000,9.09319707838207,10.6709164813864
ATAC_JV_adipose/samples/AC2/MSC72/problems/chr10:51448845-125869472,8.64812874369191,11.1424105013955
ATAC_JV_adipose/samples/AC2/MSC73/problems/chr16:46510000-88389383,5.50931560762935,6.74859179847542
ATAC_JV_adipose/samples/AC2/MSC74/problems/chr10:51448845-125869472,8.28892156863828,9.73261164172066
ATAC_JV_adipose/samples/AC2/MSC80/problems/chr16:46510000-88389383,7.06845795461749,9.77115502527862
ATAC_JV_adipose/samples/AD2/MSC80/problems/chr6:60000-58087659,9.51549830663711,10.6524036599385
ATAC_JV_adipose/samples/AD2/MSC83/problems/chr1:206482221-223747846,7.04984649145039,7.79787019589441
ATAC_JV_adipose/samples/AD2/MSC83/problems/chr6:60000-58087659,9.86381785416555,10.1316407953076
ATAC_JV_adipose/samples/AD2/MSC91/problems/chr6:60000-58087659,10.4558622787424,10.640313890626
ATAC_JV_adipose/samples/Ai/MSC77/problems/chr4:75452279-190000000,9.23659171277685,9.39641785568043
ATAC_JV_adipose/samples/Ai/MSC83/problems/chr14:19050000-107289540,7.27570149657334,11.487924553123
ATAC_JV_adipose/samples/ND2/MSC83/problems/chr6:60000-58087659,8.74893505029947,9.10055074300883
H3K27ac-H3K4me3_TDHAM_BP/samples/Input/S001NH_NCMLS_Mono/problems/chr3:60000-66170270,5.55347114532252,Inf
H3K27ac-H3K4me3_TDHAM_BP/samples/Input/S002FT_McGill_Mono/problems/chr4:75452279-190000000,12.2039932139593,Inf
H3K27ac-H3K4me3_TDHAM_BP/samples/Input/S00DKC_McGill_nTC/problems/chr4:75452279-190000000,10.1430025861156,Inf
H3K27ac-H3K4me3_TDHAM_BP/samples/Input/S00HVB_McGill_nTC/problems/chr4:75452279-190000000,10.5368411831272,Inf
H3K27ac-H3K4me3_TDHAM_BP/samples/Mono1_H3K27ac/S0026A_NCMLS/problems/chr5:49600000-91636128,5.50875340185894,Inf
H3K27ac_TDH_some/samples/kidney/MS040301/problems/chr3:60000-66170270,9.13421488863493,10.5115967807019
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr4:75452279-191044276,7.97065976608074,14.6025955556484
H3K4me3_PGP_immune/samples/monocyte/McGill0079/problems/chr6:62178589-95680543,11.7306024184512,14.6171675446218
H3K4me3_PGP_immune/samples/tcell/McGill0006/problems/chr2:21178113-87668206,7.92644715714865,9.73468929070486
H3K4me3_PGP_immune/samples/tcell/McGill0010/problems/chr1:30028082-103863906,8.35847182528809,8.90309421270083
H3K4me3_PGP_immune/samples/tcell/McGill0011/problems/chr9:92678796-133073060,8.73416346388248,9.67603758161735
H3K4me3_PGP_immune/samples/tcell/McGill0026/problems/chr6:62178589-95680543,7.06107470282177,8.33571702081483
H3K4me3_PGP_immune/samples/tcell/McGill0102/problems/chr3:60000-66170270,8.78644848918894,8.84794797646083
H3K4me3_TDH_immune/samples/tcell/McGill0004/problems/chr3:93504854-194041961,8.86562484513061,9.46609561619645
H3K4me3_XJ_immune/samples/bcell/McGill0091/problems/chr1:30028082-103863906,7.48254951079172,9.53107587342295
H3K4me3_XJ_immune/samples/monocyte/McGill0002/problems/chr22:20609431-50364777,5.80624008861442,9.61793717052243
H3K4me3_XJ_immune/samples/tcell/McGill0004/problems/chr1:30028082-103863906,5.89680807090924,7.76891012372068
H3K4me3_XJ_immune/samples/tcell/McGill0006/problems/chr22:16847850-20509431,6.95479357157044,6.98002063830756
H3K4me3_XJ_immune/samples/tcell/McGill0095/problems/chr16:46385801-88389383,8.71532446466548,9.58129543759834
H3K4me3_XJ_immune/samples/tcell/McGill0106/problems/chr22:20609431-50364777,5.91546013935178,12.0254664802695
H3K9me3_TDH_BP/samples/burkitt/ERS333899/problems/chr4:75452279-190000000,8.73301105916455,9.72167791676172
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr14:19050000-107289540,7.46335672104711,8.66157414197301
