prob.dir,quartile.0%,quartile.25%,quartile.50%,quartile.75%,quartile.100%,mean,sd,bases,data,log+1.quartile.0%,log+1.quartile.25%,log+1.quartile.50%,log+1.quartile.75%,log+1.quartile.100%,log+1.mean,log+1.sd,log+1.bases,log+1.data,log.quartile.0%,log.quartile.25%,log.quartile.50%,log.quartile.75%,log.quartile.100%,log.mean,log.sd,log.bases,log.data,log.log.quartile.0%,log.log.quartile.25%,log.log.quartile.50%,log.log.quartile.75%,log.log.quartile.100%,log.log.mean,log.log.sd,log.log.bases,log.log.data
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr10:18024675-38818835,0,2,4,7,871,6.49614949581998,17.1135239272607,20794160,1656457,0,1.09861228866811,1.6094379124341,2.07944154167984,6.77078942390898,2.01438948814974,2.89665883757473,16.8501827841081,14.3201921457372,-Inf,0.693147180559945,1.38629436111989,1.94591014905531,6.7696419768525,1.87120961611366,2.83986902387262,16.8501827360177,14.3201915420393,,-0.366512920581664,0.326634259978281,0.665729810578276,1.91244820175215,0.626585075283635,1.04375793275492,2.82436150160709,2.66167053728377
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr11:69774695-87688378,0,2,5,8,1342,7.75108641813077,20.7713713655282,17913683,1654359,0,1.09861228866811,1.79175946922805,2.19722457733622,7.20266119652324,2.16917785473414,3.08059586662618,16.7010754480269,14.3189247850542,-Inf,0.693147180559945,1.6094379124341,2.07944154167984,7.20191631753163,2.04783301652515,3.03357566197358,16.7010753922037,14.3189241805907,,-0.366512920581664,0.475884995327111,0.732099368086445,1.97434714582172,0.716782168953284,1.10974201022649,2.81547311209219,2.6615820316566
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr1:206482221-223747846,0,2,4,7,1130,6.89898442714932,17.6040364337951,17265625,1450386,0,1.09861228866811,1.6094379124341,2.07944154167984,7.03085747611612,2.06673419768386,2.92337856974496,16.664228146475,14.1873409753379,-Inf,0.693147180559945,1.38629436111989,1.94591014905531,7.02997291170639,1.9313742162994,2.86812821857833,16.6642280885565,14.1873402858665,,-0.366512920581664,0.326634259978281,0.665729810578276,1.95018285257281,0.658231778714965,1.05365962835533,2.81326439136839,2.6523500377944
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr12:145739-7189876,0,3,6,10,1218,10.4055589776292,26.304444000271,7044137,811776,0,1.38629436111989,1.94591014905531,2.39789527279837,7.10578612948127,2.43410086616436,3.30704947283576,15.7677063395477,13.6069809508841,-Inf,1.09861228866811,1.79175946922805,2.30258509299405,7.10496544826984,2.34234018042369,3.26973789830366,15.7677061975857,13.6069797190179,,0.0940478276166991,0.583198080782659,0.834032445247956,1.96079389852103,0.851150506729804,1.18470982827275,2.75796393684994,2.61058287572609
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr14:19050000-107289540,0,2,4,7,1140,6.68789602710984,18.0387229926767,88239540,7244931,0,1.09861228866811,1.6094379124341,2.07944154167984,7.03966034986208,2.03964714752735,2.94647495740159,18.2955657311734,15.7958127479096,-Inf,0.693147180559945,1.38629436111989,1.94591014905531,7.03878354138854,1.90029932947583,2.89252072458328,18.2955657198406,15.795812609882,,-0.366512920581664,0.326634259978281,0.665729810578276,1.95143536282322,0.642011415593367,1.06212834499807,2.90665872009425,2.75974488021666
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr16:46510000-88389383,0,3,5,8,1102,8.00939357201132,20.6691800416191,41879383,3993542,0,1.38629436111989,1.79175946922805,2.19722457733622,7.0057890192535,2.19826776325202,3.07589097642071,17.5503042351669,15.2001893647788,-Inf,1.09861228866811,1.6094379124341,2.07944154167984,7.00488198971286,2.0806150493517,3.02864370389954,17.5503042112888,15.2001891143745,,0.0940478276166991,0.475884995327111,0.732099368086445,1.94660733306789,0.732663546807245,1.10811489683303,2.86507128373822,2.72130786951
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr3:60000-66170270,0,2,5,7,1252,7.01892563742366,17.3502608736784,66110270,5740811,0,1.09861228866811,1.79175946922805,2.07944154167984,7.13329595489607,2.08180445248393,2.90964379094876,18.0068346785299,15.5631112217054,-Inf,0.693147180559945,1.6094379124341,1.94591014905531,7.13249755166004,1.94861016322339,2.85360754222671,18.0068346634037,15.563111047514,,-0.366512920581664,0.475884995327111,0.665729810578276,1.96466146084013,0.667116381649503,1.04858399811579,2.89075138934945,2.7449034375514
ATAC_JV_adipose/samples/AC1/MSC77/problems/chr4:75452279-190000000,0,2,4,6,829,5.19099095825748,12.3363631643899,114547721,7780681,0,1.09861228866811,1.6094379124341,1.94591014905531,6.72142570079064,1.82309516407043,2.59049437696058,18.5565020801536,15.867154552981,-Inf,0.693147180559945,1.38629436111989,1.79175946922805,6.7202201551353,1.64692461503226,2.51255125578371,18.5565020714236,15.8671544244575,,-0.366512920581664,0.326634259978281,0.583198080782659,1.90512091517927,0.498909679068596,0.921298673489035,2.92082024361678,2.76425121313401
ATAC_JV_adipose/samples/AC1/MSC77/problems/chrX:37148256-49242997,0,2,4,7,666,6.24389997272368,13.0537705063279,12094741,986274,0,1.09861228866811,1.6094379124341,2.07944154167984,6.50279004591562,1.98015973163258,2.64289072321643,16.3082813706702,13.8016904993634,-Inf,0.693147180559945,1.38629436111989,1.94591014905531,6.50128967054039,1.8316049827817,2.5690770197251,16.3082812879896,13.8016894854469,,-0.366512920581664,0.326634259978281,0.665729810578276,1.87200056807313,0.605192622250097,0.943546698108508,2.79167303327463,2.62479101115131
ATAC_JV_adipose/samples/AC1/MSC80/problems/chr10:18024675-38818835,0,1,2,4,671,3.67201502729613,12.0151969032656,20794160,982031,0,0.693147180559945,1.09861228866811,1.6094379124341,6.51025834052315,1.54159046197968,2.56611766728065,16.8501827841081,13.7973791733637,-Inf,0,0.693147180559945,1.38629436111989,6.50876913697168,1.30074056515078,2.48617225717447,16.8501827360177,13.7973781550664,,-Inf,-0.366512920581664,0.326634259978281,1.87315036568219,0.262933767770293,0.910744281586835,2.82436150160709,2.62447858534971
